entityId,parentId,name,coordinates
29475378,27563221,Netherlands,"{'latitude': 52.267659889, 'longitude': 5.5654672212}"
29475380,27563221,Belgium,"{'latitude': 50.6417020662, 'longitude': 4.6597255545}"
29475381,27563221,Germany,"{'latitude': 51.1542564766, 'longitude': 10.3963477533}"
29475382,27563221,Luxembourg,"{'latitude': 49.7749074655, 'longitude': 6.0938287282}"
29475383,27563221,Ireland,"{'latitude': 53.1823172275, 'longitude': -8.2364947844}"
29475385,27563221,France,"{'latitude': 46.5525478148, 'longitude': 2.5256872161}"
29475388,27563221,Slovakia,"{'latitude': 48.7094546865, 'longitude': 19.4835994005}"
29475390,27563221,Norway,"{'latitude': 68.58552678092275, 'longitude': 15.32775776500167}"
29475394,27563221,Slovenia,"{'latitude': 46.123233192, 'longitude': 14.8155350871}"
29475395,27563221,Montenegro,"{'latitude': 42.7683085783, 'longitude': 19.2307196961}"
29475396,27563221,Bosnia and Herzegovina,"{'latitude': 44.1755070302, 'longitude': 17.7887811875}"
29475397,27563220,Angola,"{'latitude': -12.2947322593, 'longitude': 17.540121333}"
29475398,27563220,Namibia,"{'latitude': -22.1435127195, 'longitude': 17.214597834}"
29475399,205351567,Barbados,"{'latitude': 13.1766941458, 'longitude': -59.553546683}"
29475401,205351568,Guyana,"{'latitude': 4.8014571859, 'longitude': -58.9776712576}"
29475403,205351568,Paraguay,"{'latitude': -23.242980185, 'longitude': -58.3927740041}"
29475404,205351568,Uruguay,"{'latitude': -32.8041189859, 'longitude': -56.0186936023}"
29475405,205351568,Brazil,"{'latitude': -10.7556598919, 'longitude': -53.056356166}"
29475406,205351567,Jamaica,"{'latitude': 18.1481640787, 'longitude': -77.3067275474}"
29475407,205351567,Dominican Republic,"{'latitude': 18.8920345367, 'longitude': -70.4650877038}"
29475408,205351567,Cuba,"{'latitude': 21.6688428389, 'longitude': -79.1387789732}"
29475409,205351567,Bahamas,"{'latitude': 24.4460487795, 'longitude': -76.6334611984}"
29475410,205351568,Trinidad and Tobago,"{'latitude': 10.4745893961, 'longitude': -61.2713639066}"
29475411,205351567,Saint Kitts and Nevis,"{'latitude': 17.2703554232, 'longitude': -62.7009077124}"
29475412,205351567,Dominica,"{'latitude': 15.43321608, 'longitude': -61.3520989118}"
29475414,205351567,Saint Lucia,"{'latitude': 13.8996180717, 'longitude': -60.9662134051}"
29475415,205351567,Saint Vincent and the Grenadines,"{'latitude': 13.0659072284, 'longitude': -61.2316902538}"
29475416,205351567,Grenada,"{'latitude': 12.1933194628, 'longitude': -61.6314994711}"
29475417,205351567,Belize,"{'latitude': 17.2125201896, 'longitude': -88.6347846526}"
29475418,205351567,El Salvador,"{'latitude': 13.7216873817, 'longitude': -88.8600804866}"
29475419,205351567,Guatemala,"{'latitude': 15.6969616463, 'longitude': -90.3482660475}"
29475420,205351567,Honduras,"{'latitude': 14.8291112836, 'longitude': -86.5973359479}"
